,loss
0,0.7833758085841891
1,0.7827443977437673
2,0.7704516420464369
3,0.7629066165347784
4,0.7532249161804254
5,0.7450327306518778
6,0.7364416851677339
7,0.7283840098102918
8,0.720392846788083
9,0.7126771400493969
10,0.705129623286903
11,0.6977875079340056
12,0.6906245762693841
13,0.683642279116147
14,0.6768309449695948
15,0.6701857900658723
16,0.6637004801216682
17,0.6573696192380046
18,0.6511877945110175
19,0.6451499107071238
20,0.6392510571614943
21,0.6334865399386115
22,0.6278518582055395
23,0.6223426996144036
24,0.6169549301551894
25,0.6116845862544755
26,0.6065278667128596
27,0.6014811251789268
28,0.5965408629406652
29,0.5917037220766719
30,0.5869664789373082
31,0.5823260379453024
32,0.5777794257005603
33,0.573323785375466
34,0.5689563713870052
35,0.5646745443325165
36,0.5604757661762902
37,0.5563575956746898
38,0.5523176840279523
39,0.548353770747295
40,0.5444636797264376
41,0.5406453155071409
42,0.5368966597288192
43,0.5332157677527672
44,0.5296007654519822
45,0.526049846158007
46,0.5225612677566551
47,0.5191333499248733
48,0.5157644715014077
49,0.5124530679843142
50,0.5091976291487098
51,0.5059966967785217
52,0.5028488625063108
53,0.4997527657555661
54,0.4967070917801644
55,0.49371056979597616
56,0.49076197119986814
57,0.4878601078716057
58,0.48500383055440915
59,0.4821920273101367
60,0.4794236220452963
61,0.47669757310428473
62,0.47401287192645436
63,0.4713685417637845
64,0.4687636364561171
65,0.4661972392610724
66,0.463668461735921
67,0.46117644266883273
68,0.45872034705706116
69,0.4562993651297564
70,0.4539127114132159
71,0.45155962383650483
72,0.4492393628754888
73,0.44695121073341526
74,0.44469447055629474
75,0.4424684656814066
76,0.4402725389173578
77,0.43810605185419504
78,0.43596838420215234
79,0.4338589331576905
80,0.4317771127955521
81,0.42972235348562454
82,0.42769410133345837
83,0.4256918176433598
84,0.4237149784030153
85,0.4217630737886736
86,0.41983560768994954
87,0.41793209725336594
88,0.4160520724437915
89,0.4141950756229784
90,0.41236066114443576
91,0.4105483949639219
92,0.4087578542648653
93,0.4069886270980628
94,0.4052403120350319
95,0.403512517834431
96,0.4018048631209775
97,0.40011697607633606
98,0.39844849414145905
99,0.3967990637299013
100,0.39516833995164025
101,0.39355598634696215
102,0.39196167462999776
103,0.3903850844414998
104,0.38882590311048676
105,0.3872838254243834
106,0.38575855340731596
107,0.38424979610622406
108,0.38275726938447613
109,0.38128069572268786
110,0.37981980402645016
111,0.3783743294406957
112,0.37694401317043735
113,0.37552860230762886
114,0.37412784966390755
115,0.3727415136089868
116,0.3713693579144823
117,0.37001115160295767
118,0.3686666688019925
119,0.3673356886030772
120,0.36601799492515297
121,0.3647133763826193
122,0.363421626157642
123,0.36214254187659706
124,0.36087592549049985
125,0.35962158315926906
126,0.358379325139684
127,0.35714896567689813
128,0.3559303228993812
129,0.3547232187171628
130,0.3535274787232569
131,0.3523429320981556
132,0.3511694115172785
133,0.3500067530612731
134,0.3488547961290665
135,0.34771338335356716
136,0.3465823605199266
137,0.34546157648627074
138,0.3443508831068119
139,0.3432501351572625
140,0.3421591902624677
141,0.34107790882618355
142,0.3400061539629216
143,0.33894379143179915
144,0.33789068957231466
145,0.3368467192419942
146,0.33581175375584016
147,0.3347856688275212
148,0.33376834251225
149,0.33275965515128814
150,0.3317594893180272
151,0.3307677297655933
152,0.32978426337592387
153,0.32880897911027035
154,0.3278417679610817
155,0.32688252290522096
156,0.32593113885847247
157,0.3249875126313018
158,0.32405154288582566
159,0.32312313009395055
160,0.32220217649665156
161,0.32128858606434674
162,0.3203822644583368
163,0.31948311899327747
164,0.31859105860065046
165,0.3177059937932034
166,0.31682783663032893
167,0.31595650068435255
168,0.31509190100770385
169,0.31423395410094274
170,0.3133825778816148
171,0.3125376916539124
172,0.31169921607911355
173,0.3108670731467808
174,0.31004118614669257
175,0.3092214796414875
176,0.3084078794400012
177,0.30760031257127335
178,0.3067987072592067
179,0.3060029928978599
180,0.3052131000273521
181,0.30442896031036604
182,0.30365050650923076
183,0.3028776724635653
184,0.30211039306846954
185,0.30134860425324744
186,0.30059224296064463
187,0.2998412471265881
188,0.2990955556604138
189,0.2983551084255662
190,0.29761984622076093
191,0.29688971076159276
192,0.2961646446625795
193,0.2954445914196302
194,0.2947294953929241
195,0.29401930179018987
